idx	window_id	header	cluster
0	X64126.1_w0	X64126.1_w0	25
1	X64126.1_w10	X64126.1_w10	-1
2	X60725.1_w0	X60725.1_w0	-1
3	X60725.1_w50	X60725.1_w50	25
4	X60725.1_w100	X60725.1_w100	-1
5	X60725.1_w150	X60725.1_w150	-1
6	X60725.1_w200	X60725.1_w200	-1
7	X60725.1_w250	X60725.1_w250	-1
8	X60725.1_w300	X60725.1_w300	-1
9	X60725.1_w350	X60725.1_w350	-1
10	X60725.1_w400	X60725.1_w400	-1
11	X60725.1_w450	X60725.1_w450	25
12	X60725.1_w500	X60725.1_w500	25
13	X60725.1_w550	X60725.1_w550	30
14	X60725.1_w600	X60725.1_w600	25
15	X60725.1_w650	X60725.1_w650	-1
16	X60725.1_w700	X60725.1_w700	-1
17	X60725.1_w750	X60725.1_w750	25
18	X60725.1_w800	X60725.1_w800	-1
19	X60725.1_w850	X60725.1_w850	-1
20	X60725.1_w900	X60725.1_w900	25
21	X60725.1_w950	X60725.1_w950	-1
22	X60725.1_w1000	X60725.1_w1000	-1
23	X60725.1_w1050	X60725.1_w1050	-1
24	X60725.1_w1100	X60725.1_w1100	-1
25	X60725.1_w1150	X60725.1_w1150	37
26	X60725.1_w1200	X60725.1_w1200	-1
27	X60725.1_w1250	X60725.1_w1250	-1
28	X60725.1_w1300	X60725.1_w1300	-1
29	X60725.1_w1350	X60725.1_w1350	-1
30	X60725.1_w1400	X60725.1_w1400	59
31	X60725.1_w1450	X60725.1_w1450	-1
32	X60725.1_w1500	X60725.1_w1500	25
33	X60725.1_w1550	X60725.1_w1550	-1
34	X60725.1_w1600	X60725.1_w1600	-1
35	X60725.1_w1650	X60725.1_w1650	-1
36	X60725.1_w1700	X60725.1_w1700	-1
37	X60725.1_w1750	X60725.1_w1750	-1
38	X60725.1_w1800	X60725.1_w1800	-1
39	X60725.1_w1850	X60725.1_w1850	-1
40	X60725.1_w1900	X60725.1_w1900	-1
41	X60725.1_w1950	X60725.1_w1950	-1
42	X60725.1_w2000	X60725.1_w2000	-1
43	X60725.1_w2050	X60725.1_w2050	-1
44	X60725.1_w2100	X60725.1_w2100	-1
45	X60725.1_w2150	X60725.1_w2150	-1
46	X60725.1_w2200	X60725.1_w2200	-1
47	X60725.1_w2250	X60725.1_w2250	-1
48	X60725.1_w2300	X60725.1_w2300	-1
49	X60725.1_w2321	X60725.1_w2321	-1
50	Z18528.1_w0	Z18528.1_w0	95
51	Z18528.1_w50	Z18528.1_w50	-1
52	Z18528.1_w100	Z18528.1_w100	-1
