id	label
X64126.1_w0	Bos taurus
X64126.1_w10	Bos taurus
X60725.1_w0	Feline immunodeficiency
X60725.1_w50	Feline immunodeficiency
X60725.1_w100	Feline immunodeficiency
X60725.1_w150	Feline immunodeficiency
X60725.1_w200	Feline immunodeficiency
X60725.1_w250	Feline immunodeficiency
X60725.1_w300	Feline immunodeficiency
X60725.1_w350	Feline immunodeficiency
X60725.1_w400	Feline immunodeficiency
X60725.1_w450	Feline immunodeficiency
X60725.1_w500	Feline immunodeficiency
X60725.1_w550	Feline immunodeficiency
X60725.1_w600	Feline immunodeficiency
X60725.1_w650	Feline immunodeficiency
X60725.1_w700	Feline immunodeficiency
X60725.1_w750	Feline immunodeficiency
X60725.1_w800	Feline immunodeficiency
X60725.1_w850	Feline immunodeficiency
X60725.1_w900	Feline immunodeficiency
X60725.1_w950	Feline immunodeficiency
X60725.1_w1000	Feline immunodeficiency
X60725.1_w1050	Feline immunodeficiency
X60725.1_w1100	Feline immunodeficiency
X60725.1_w1150	Feline immunodeficiency
X60725.1_w1200	Feline immunodeficiency
X60725.1_w1250	Feline immunodeficiency
X60725.1_w1300	Feline immunodeficiency
X60725.1_w1350	Feline immunodeficiency
X60725.1_w1400	Feline immunodeficiency
X60725.1_w1450	Feline immunodeficiency
X60725.1_w1500	Feline immunodeficiency
X60725.1_w1550	Feline immunodeficiency
X60725.1_w1600	Feline immunodeficiency
X60725.1_w1650	Feline immunodeficiency
X60725.1_w1700	Feline immunodeficiency
X60725.1_w1750	Feline immunodeficiency
X60725.1_w1800	Feline immunodeficiency
X60725.1_w1850	Feline immunodeficiency
X60725.1_w1900	Feline immunodeficiency
X60725.1_w1950	Feline immunodeficiency
X60725.1_w2000	Feline immunodeficiency
X60725.1_w2050	Feline immunodeficiency
X60725.1_w2100	Feline immunodeficiency
X60725.1_w2150	Feline immunodeficiency
X60725.1_w2200	Feline immunodeficiency
X60725.1_w2250	Feline immunodeficiency
X60725.1_w2300	Feline immunodeficiency
X60725.1_w2321	Feline immunodeficiency
Z18528.1_w0	Ovis aries
Z18528.1_w50	Ovis aries
Z18528.1_w100	Ovis aries
Z18528.1_w150	Ovis aries
Z18528.1_w200	Ovis aries
Z18528.1_w208	Ovis aries
X51559.1_full	S. scrofa
X51560.1_full	S. scrofa
X51558.1_w0	S. scrofa
X51558.1_w44	S. scrofa
X51556.1_w0	S. scrofa
X51556.1_w50	S. scrofa
X51556.1_w55	S. scrofa
X51555.1_w0	S. scrofa
X51555.1_w50	S. scrofa
X51555.1_w63	S. scrofa
X51564.1_full	S. scrofa
X51565.1_full	S. scrofa
X51563.1_full	S. scrofa
