qseqid	sseqid	pident	length	evalue	bitscore	stitle	sacc	classification
cluster0_cons|n6	gi|19645|emb|X13289.1|	82.456	114	5.21e-20	113.0	Medicago sativa mRNA for nodulin-25 (clone 910)	X13289	weak_or_novel
cluster100_cons|n16	gi|20786|emb|X67423.1|	96.899	129	2.31e-51	219.0	Pisum sativum legK gene (clone lambda LegJ2)	X67423	reliable
cluster101_cons|n35	gi|11149|emb|X70865.1|	99.515	206	1.6e-98	375.0	D.melanogaster mRNA for sgg10 protein kinase (clone pnB9)	X70865	reliable
cluster102_cons|n24	gi|22421|emb|X57743.1|	97.992	249	4.31e-114	427.0	Z.mays mRNA for polygalacturonase (clone PG3)	X57743	reliable
cluster103_cons|n8	gi|22525|emb|V01474.1|	97.235	434	0.0	737.0	Zea mays gene encoding a zein (clone zA1)	V01474	reliable
cluster104_cons|n10	gi|22526|emb|V01475.1|	77.855	429	1.38e-72	289.0	Zea mays mRNA encoding a zein (clone zA1)	V01475	weak_or_novel
cluster105_cons|n7	gi|54652006|gb|BT017225.1|	90.545	275	9.089999999999999e-94	359.0	Zea mays clone EL01N0302C12.c mRNA sequence	BT017225	reliable
cluster106_cons|n10	gi|22392|emb|X14580.1|	87.845	362	1.02e-123	459.0	Maize phosphoenolpyruvate carboxylase gene 5'flanking region (EC 4.1.1.31) clone M91	X14580	weak_or_novel
cluster107_cons|n11	gi|1174098204|ref|NM_001111962.2|	99.187	246	1.22e-118	442.0	Zea mays exopolygalacturonase 1 (LOC542387), mRNA	NM_001111962	reliable
cluster108_cons|n16	gi|2129715303|gb|CP086035.1|	96.606	442	0.0	736.0	Leishmania major breed Culture 1 isolate JRCGR_LM-01 chromosome 12	CP086035	reliable
cluster109_cons|n9	gi|1174098204|ref|NM_001111962.2|	98.718	546	0.0	963.0	Zea mays exopolygalacturonase 1 (LOC542387), mRNA	NM_001111962	reliable
cluster10_cons|n7	gi|19028|emb|X15691.1|	96.525	518	0.0	857.0	Barley mRNA for chloroplast low molecular mass early light-inducible protein (ELIP) (clone HV60)	X15691	reliable
cluster110_cons|n7	gi|21213157|gb|AY109436.1|	92.188	64	9.05e-14	93.5	Zea mays CL1124_1 mRNA sequence	AY109436	weak_or_novel
cluster111_cons|n7	gi|214016475|gb|EU725202.1|	92.063	63	8.54e-14	93.5	Zea mays subsp. parviglumis isolate rip1_g16 ribosome-inactivating protein (rip1) gene, complete cds	EU725202	weak_or_novel
cluster112_cons|n11	gi|22518|emb|V01470.1|	91.778	450	5.3e-177	636.0	Zea mays gene encoding a zein gene (clone lambda-ZG99)	V01470	reliable
cluster113_cons|n10	gi|1219456034|ref|NM_001150311.2|	83.688	141	2.27e-25	132.0	Zea mays uncharacterized LOC100276549 (LOC100276549), mRNA	NM_001150311	weak_or_novel
cluster114_cons|n7	gi|22185|emb|X54212.1|	85.801	331	3.13e-94	361.0	Z.mays mRNA for b-32 protein, putative regulatory factor of zein expression (clone b-32.120)	X54212	weak_or_novel
cluster115_cons|n8	gi|22185|emb|X54212.1|	94.015	401	1.86e-171	617.0	Z.mays mRNA for b-32 protein, putative regulatory factor of zein expression (clone b-32.120)	X54212	reliable
cluster116_cons|n6	gi|22390|emb|X14581.1|	92.226	283	1.35e-105	398.0	Maize phosphoenolpyruvate carboxylase gene 5'flanking region (EC 4.1.1.31) clone M21	X14581	reliable
cluster117_cons|n5	gi|985567221|ref|NM_001319734.1|	87.681	276	2.94e-93	357.0	Zea mays ribosome-inactivating protein (LOC103635696), mRNA	NM_001319734	weak_or_novel
cluster118_cons|n13	gi|22185|emb|X54212.1|	80.968	310	2.87e-70	281.0	Z.mays mRNA for b-32 protein, putative regulatory factor of zein expression (clone b-32.120)	X54212	weak_or_novel
cluster119_cons|n15	gi|22187|emb|X70153.1|	90.678	236	3.14e-79	311.0	Z.mays mRNA for b-32 protein, putative regulatory factor of zein expression (clone b-32.129)	X70153	reliable
cluster11_cons|n6	gi|19028|emb|X15691.1|	90.574	244	2.66e-79	311.0	Barley mRNA for chloroplast low molecular mass early light-inducible protein (ELIP) (clone HV60)	X15691	reliable
cluster120_cons|n17	gi|214016487|gb|EU725208.1|	99.219	128	3.44e-55	231.0	Zea mays subsp. parviglumis isolate rip1_eg5 ribosome-inactivating protein (rip1) gene, complete cds	EU725208	reliable
cluster121_cons|n14	gi|22187|emb|X70153.1|	96.313	217	9.819999999999999e-95	363.0	Z.mays mRNA for b-32 protein, putative regulatory factor of zein expression (clone b-32.129)	X70153	reliable
cluster122_cons|n14	gi|9584|emb|X56810.1|	93.559	295	1.85e-121	451.0	L.major mRNA for surface antigen P2 (clone 6.4)	X56810	reliable
cluster123_cons|n14	gi|17105286|gb|AC011341.3|	90.244	82	9.42e-19	110.0	Homo sapiens chromosome 5 clone CTC-269F1, complete sequence	AC011341	weak_or_novel
cluster124_cons|n13	gi|2462621255|ref|XM_054361327.1|	96.703	91	1.5700000000000001e-31	152.0	PREDICTED: Homo sapiens family with sequence similarity 167 member A (FAM167A), transcript variant X4, mRNA	XM_054361327	weak_or_novel
cluster125_cons|n6	gi|2772186900|gb|CP139549.2|	95.161	62	1.64e-15	99.0	Homo sapiens isolate NA24385 chromosome 17	CP139549	weak_or_novel
cluster126_cons|n5	gi|23332|emb|Z16763.1|	86.301	219	9.35e-63	255.0	H. sapiens (D2S134) DNA segment containing (CA) repeat; clone AFM168xg11; single read	Z16763	weak_or_novel
cluster127_cons|n13	gi|23298|emb|Z16729.1|	91.406	128	2.85e-39	178.0	H. sapiens (D10S204) DNA segment containing (CA) repeat; clone AFM164tg9; single read	Z16729	reliable
cluster128_cons|n12	gi|23401|emb|Z16816.1|	80.851	94	1.59e-07	73.1	H. sapiens (D20S111) DNA segment containing (CA) repeat; clone AFM190xg1; single read	Z16816	weak_or_novel
cluster129_cons|n11	gi|9584|emb|X56810.1|	92.969	256	1.46e-102	388.0	L.major mRNA for surface antigen P2 (clone 6.4)	X56810	reliable
cluster12_cons|n31	gi|409192842|gb|JX490674.1|	78.629	248	6.530000000000001e-43	191.0	Hordeum vulgare subsp. spontaneum isolate 37-2-215-2 alpha-amylase 2 (amy2) mRNA, partial cds	JX490674	weak_or_novel
cluster130_cons|n12	gi|2129715303|gb|CP086035.1|	83.898	118	4.1699999999999994e-23	124.0	Leishmania major breed Culture 1 isolate JRCGR_LM-01 chromosome 12	CP086035	weak_or_novel
cluster131_cons|n109	gi|9833|emb|X06426.1|	92.462	199	2.83e-72	289.0	Plasmodium falciparum (FCR3) mRNA, clone 22	X06426	reliable
cluster132_cons|n26	gi|1533626162|emb|LR131395.1|	75.0	632	1.46e-102	388.0	Plasmodium falciparum genome assembly, chromosome: 10	LR131395	weak_or_novel
cluster133_cons|n10	gi|10145|emb|X16019.1|	90.0	80	6.170000000000001e-21	117.0	S.lemnae histone H4 gene (clone H4g)	X16019	weak_or_novel
cluster134_cons|n8	gi|2719426869|gb|CP151525.1|	87.421	159	5.3799999999999996e-42	187.0	Drosophila melanogaster strain ANU-1 chromosome X	CP151525	weak_or_novel
cluster135_cons|n17	gi|9848|emb|X17486.1|	83.696	276	3.52e-69	278.0	Plasmodium falciparum mRNA for asparagine-rich antigen (clone 25C4)	X17486	weak_or_novel
cluster136_cons|n24	gi|9850|emb|X17487.1|	90.353	539	0.0	704.0	Plasmodium falciparum mRNA for asparagine-rich antigen (clone 28C6)	X17487	reliable
cluster137_cons|n26	gi|10075|emb|X57504.1|	77.582	455	4.04e-63	257.0	P.univalens pentameric repeat segment DNA (clone pAm4)	X57504	weak_or_novel
cluster138_cons|n9	gi|10145|emb|X16019.1|	93.548	124	7.38e-45	196.0	S.lemnae histone H4 gene (clone H4g)	X16019	reliable
cluster139_cons|n16	gi|10036|emb|X01343.1|	82.723	191	5.22e-37	171.0	Psammechinus miliaris gene for histone H4 (clone h19)	X01343	weak_or_novel
cluster13_cons|n12	gi|2689468007|gb|CP138071.1|	85.227	264	3.97e-63	257.0	Arabidopsis thaliana ecotype N13 chromosome 1 sequence	CP138071	weak_or_novel
cluster140_cons|n11	gi|3035691723|emb|OZ296925.1|	100.0	48	1.17e-12	89.8	Strongylocentrotus droebachiensis genome assembly, chromosome: 19	OZ296925	weak_or_novel
cluster141_cons|n20	gi|2592695272|gb|CP131974.1|	74.753	507	2.11e-71	285.0	Plasmodium falciparum strain W2 chromosome 10	CP131974	weak_or_novel
cluster142_cons|n7	gi|1533616013|emb|LR131334.1|	88.753	409	3.11e-142	520.0	Plasmodium falciparum strain IT genome assembly, chromosome: 13	LR131334	weak_or_novel
cluster143_cons|n11	gi|1533644066|emb|LR131490.1|	82.622	328	3.46e-73	291.0	Plasmodium falciparum genome assembly, chromosome: 10	LR131490	weak_or_novel
cluster144_cons|n5	gi|1533639861|emb|LR131472.1|	84.755	387	5.38e-110	412.0	Plasmodium falciparum genome assembly, chromosome: 7	LR131472	weak_or_novel
cluster145_cons|n22	gi|9944|emb|X53014.1|	77.899	276	6.3e-46	200.0	P.falciparum DNA for erythrocyte membrane-associated antigen (clone pPf118)	X53014	weak_or_novel
cluster14_cons|n20	gi|16413|emb|X54369.1|	91.134	688	0.0	933.0	A. thaliana genes for tRNA-Ser and tRNA-Tyr (I and II), (clone pAtY2)	X54369	reliable
cluster15_cons|n17	gi|16032|emb|X51811.1|	99.641	836	0.0	1524.0	Acetabularia mediterranea mRNA for ribulose 1,5-bisphosphate carboxylase/oxygenase, small subunit (rbcS gene), clone M1	X51811	reliable
cluster16_cons|n13	gi|16038|emb|X51813.1|	84.778	473	2.36e-135	497.0	Acetabularia mediterranea mRNA for ribulose 1,5-bisphosphate carboxylase/oxygenase, small subunit (rbcS gene), clone M3	X51813	weak_or_novel
cluster17_cons|n25	gi|2689467943|gb|CP138016.1|	80.952	231	9.67e-51	217.0	Arabidopsis thaliana ecotype Abd-0 chromosome 1 sequence	CP138016	weak_or_novel
cluster18_cons|n6	gi|3016222810|emb|OZ271665.1|	92.722	371	8.340000000000001e-144	525.0	Arabidopsis thaliana genome assembly, chromosome: 1	OZ271665	reliable
cluster19_cons|n12	gi|3016222810|emb|OZ271665.1|	96.139	518	0.0	837.0	Arabidopsis thaliana genome assembly, chromosome: 1	OZ271665	reliable
cluster1_cons|n5	gi|19114|emb|X05587.1|	96.099	282	2.76e-122	453.0	Barley mRNA for leaf-specific thionin (clone DC4)	X05587	reliable
cluster20_cons|n17	gi|3016222810|emb|OZ271665.1|	94.876	605	0.0	957.0	Arabidopsis thaliana genome assembly, chromosome: 1	OZ271665	reliable
cluster21_cons|n22	gi|15975|emb|X51810.1|	78.838	482	7.670000000000001e-86	333.0	Acetabularia cliftonii mRNA for ribulose 1,5-bisphosphate carboxylase/oxygenase, small sububnit (rbcS gene), clone C5	X51810	weak_or_novel
cluster22_cons|n8	gi|19726|emb|X58513.1|	86.197	355	2.57e-94	361.0	N.rustica cytoplasmic tRNA-tyr gene (pNtY13 clone)	X58513	weak_or_novel
cluster23_cons|n8	gi|15967|emb|X51808.1|	92.977	299	3.16e-113	424.0	Acetabularia cliftonii mRNA for ribulose 1,5-bisphosphate carboxylase/oxygenase, small subunit (rbcS gene), clone C3	X51808	reliable
cluster24_cons|n12	gi|15967|emb|X51808.1|	94.286	175	4.1099999999999995e-68	274.0	Acetabularia cliftonii mRNA for ribulose 1,5-bisphosphate carboxylase/oxygenase, small subunit (rbcS gene), clone C3	X51808	reliable
cluster25_cons|n10	gi|1092|emb|X60725.1|	95.745	47	1.08e-08	76.8	Feline immunodeficiency virus ENV gene for envelope precursor glycoprotein	X60725	weak_or_novel
cluster26_cons|n8	gi|15963|emb|X51806.1|	89.37	254	1.2899999999999999e-82	322.0	Acetabularia cliftonii partial mRNA ribulose 1,5-bisphosphate carboxylase/oxygenase (EC 4.1.1.39), small subunit (rbcS gene), clone C1	X51806	weak_or_novel
cluster27_cons|n8	gi|21550|emb|X60397.1|	88.038	418	9.81e-143	521.0	S.tuberosum promoter region and partial gene for patatin (clone pgT4)	X60397	weak_or_novel
cluster28_cons|n85	gi|19218|emb|X55692.1|	92.49	253	1.08e-100	383.0	Tomato extensin mRNA (clone w1-8 L)	X55692	reliable
cluster2_cons|n15	gi|2258205177|ref|XM_048735966.1|	89.27	233	7.7e-76	300.0	PREDICTED: Brassica napus S-locus-specific glycoprotein S13 (LOC125576281), mRNA	XM_048735966	weak_or_novel
cluster30_cons|n13	gi|305410817|ref|NG_027548.1|	96.33	109	2.34e-40	182.0	Homo sapiens nuclear casein kinase and cyclin dependent kinase substrate 1 (NUCKS1), RefSeqGene on chromosome 1	NG_027548	reliable
cluster31_cons|n25	gi|169955890|gb|EU548081.1|	95.192	104	2.72e-36	169.0	Solanum tuberosum clone GKCM-TU01 granule-bound starch synthase (waxy) gene, partial cds	EU548081	reliable
cluster32_cons|n10	gi|169955890|gb|EU548081.1|	97.034	236	7.7e-105	396.0	Solanum tuberosum clone GKCM-TU01 granule-bound starch synthase (waxy) gene, partial cds	EU548081	reliable
cluster33_cons|n34	gi|9149|emb|X60176.1|	85.714	210	3.1e-50	215.0	D.silvestris clone U28T2 non-LTR retrotransposon DNA (5218 bp)	X60176	weak_or_novel
cluster34_cons|n14	gi|9150|emb|X60177.1|	82.051	390	3.27e-80	315.0	D.silvestris clone U28T2 non-LTR retrotransposon DNA (7779 bp)	X60177	weak_or_novel
cluster35_cons|n6	gi|1701128512|ref|NR_130136.2|	86.496	274	2.49e-79	311.0	Homo sapiens TSC22 domain family member 2 (TSC22D2), transcript variant 3, non-coding RNA	NR_130136	weak_or_novel
