accession	label	description	clean_header	length	n_count
X64126.1	Bos taurus	B.taurus DNA for SINE sequence Bov-1DAF327250.1 Bos taurus clone BOVA2 SINE Bov-A2 repeat sequence	X64126.1 Bos taurus	260	0
X60725.1	Feline immunodeficiency	Feline immunodeficiency virus ENV gene for envelope precursor glycoprotein	X60725.1 Feline immunodeficiency	2571	0
Z18528.1	Ovis aries	O.aries repeat sequenceU24089.1 Ovis aries satellite I repeat, clone REPEAT4	Z18528.1 Ovis aries	458	0
X51559.1	S. scrofa	S. scrofa Mc1 satellite DNA (clone pAL7.1)	X51559.1 S. scrofa	190	0
X51560.1	S. scrofa	S. scrofa Mc1 satellite DNA (clone pAL7.4)	X51560.1 S. scrofa	192	0
X51558.1	S. scrofa	S. scrofa Mc1 satellite DNA (clone pAL7.5)	X51558.1 S. scrofa	294	0
X51556.1	S. scrofa	S. scrofa Mc1 satellite DNA (clone pAv1.6)	X51556.1 S. scrofa	305	0
X51555.1	S. scrofa	S. scrofa Mc1 satellite DNA (clone pAv1.5)	X51555.1 S. scrofa	313	0
X51564.1	S. scrofa	S. scrofa Ac2 satellite DNA (clone pHi4.2)	X51564.1 S. scrofa	156	0
X51565.1	S. scrofa	S. scrofa Ac2 satellite DNA (clone pHi4.5)	X51565.1 S. scrofa	76	0
X51563.1	S. scrofa	S. scrofa Ac2 satellite DNA (clone pMb2.3)	X51563.1 S. scrofa	235	0
X51561.1	S. scrofa	S. scrofa Ac2 satellite DNA (clone pMb3.4)	X51561.1 S. scrofa	309	0
X51562.1	S. scrofa	S. scrofa Ac2 satellite DNA (clone pMb3.5)	X51562.1 S. scrofa	328	0
X51557.1	S. scrofa	S. scrofa Mc1 satellite DNA (clone pPv15)	X51557.1 S. scrofa	301	0
X53153.1	O.cuniculus VH	O.cuniculus VH gene (clone 41-1)	X53153.1 O.cuniculus VH	470	0
X03564.1	Aspergillus nidulans	Aspergillus nidulans 5S rRNA type 1 gene (clone pKS 6-12)	X03564.1 Aspergillus nidulans	566	0
X03566.1	Aspergillus nidulans	Aspergillus nidulans 5S rRNA type 2 gene (clone pMN 912)	X03566.1 Aspergillus nidulans	345	0
X03567.1	Aspergillus nidulans	Aspergillus nidulans 5S rRNA type 2 gene (clone pMN 1412)	X03567.1 Aspergillus nidulans	394	0
X03568.1	Aspergillus nidulans	Aspergillus nidulans 5S rRNA type 2 gene (clone pMN 24)	X03568.1 Aspergillus nidulans	243	0
X03565.1	Aspergillus nidulans	Aspergillus nidulans 5S rRNA pseudogene (clone pKS 3-11)	X03565.1 Aspergillus nidulans	691	0
X03569.1	Aspergillus nidulans	Aspergillus nidulans 5S rRNA pseudogene (clone pKS 5-14)	X03569.1 Aspergillus nidulans	332	0
NC_043491.1	Cladosporium fulvum	Cladosporium fulvum T-1 virus LTR-retrotransposon encoding homologues to retroviral gag, pol, and env genesZ11866.1 Cladosporium fulvum T-1 virus LTR-retrotransposon encoding homologues to retroviral gag, pol, and env genes	NC_043491.1 Cladosporium fulvum	7396	0
X62980.1	Festuca arizonica	Festuca arizonica symbiont p1572 5.8S rRNA gene (partial), ITS2 and 26S rRNA gene (partial)X62978.1 Lolium perenne symbiont ATCC 56210 5.8S rRNA gene (partial), ITS2 and 26S rRNA gene (partial)	X62980.1 Festuca arizonica	282	0
X62979.1	Schedonorus pratensis	Schedonorus pratensis symbiont p180 5.8S rRNA gene (partial), ITS2 and 26S rRNA gene (partial)	X62979.1 Schedonorus pratensis	281	0
X62986.1	Schedonorus pratensis	Schedonorus pratensis symbiont p178 5.8S rRNA gene (partial), ITS2 and 26S rRNA gene (partial)	X62986.1 Schedonorus pratensis	279	0
X62991.1	Schedonorus arundinaceus	Schedonorus arundinaceus symbiont ATCC 56207 5.8S rRNA gene (partial), ITS2 and 26S rRNA gene (partial)	X62991.1 Schedonorus arundinaceus	666	0
NM_001180606.1	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C F1F0 ATP synthase subunit 5 (ATP5), partial mRNAX12356.1 Yeast gene for ATP synthase subunit 5 (EC 3.6.1.34)AY557732.1 Saccharomyces cerevisiae clone FLH002155.01X YDR298C gene, complete cds	NM_001180606.1 Saccharomyces cerevisiae	639	0
NM_001178784.1	Saccharomyces cerevisiae	Saccharomyces cerevisiae S288C cystinosin-like protein ERS1 (ERS1), partial mRNAX52468.1 Yeast ERS1 gene for a transmembrane proteinDQ331772.1 Synthetic construct Saccharomyces cerevisiae clone FLH145480.01X ERS1 gene, complete sequence	NM_001178784.1 Saccharomyces cerevisiae	783	0
X01658.1	Yeast transfer	Yeast transfer RNA-Ile-1 (UAU) precursor (clone GKN-7)	X01658.1 Yeast transfer	248	0
X01657.1	Yeast transfer	Yeast transfer RNA-Ile-2 (UAU) precursor (clone pGKN-11)	X01657.1 Yeast transfer	362	0
X69881.1	S.cerevisiae DNA	S.cerevisiae DNA with unidentified reading frames	X69881.1 S.cerevisiae DNA	3811	0
X01660.1	Yeast transfer	Yeast transfer RNA-Pro (UGG) precursor, gene suf 8+ (clone pGKN-2)	X01660.1 Yeast transfer	228	0
X04153.1	Yeast transfer	Yeast transfer RNA-Ser-2 (AGA) gene (clone B)K00573.1 Yeast (S.cerevisiae) ser-tRNA-2b gene	X04153.1 Yeast transfer	132	0
X04154.1	Yeast transfer	Yeast transfer RNA-Ser-2 (AGA) gene (clone G)K00574.1 Yeast (S.cerevisiae) ser-tRNA-2g gene	X04154.1 Yeast transfer	136	0
X04155.1	Yeast transfer	Yeast transfer RNA-Ser-2 (AGA) gene (clone J)K00575.1 Yeast (S.cerevisiae) ser-tRNA-2j gene	X04155.1 Yeast transfer	142	0
